"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,134,"MDG","Madagascar",1,"Antananarivo","Faritany Mizakatena","Autonomous Province",NA,"Tananarive"
2,134,"MDG","Madagascar",2,"Antsiranana","Faritany Mizakatena","Autonomous Province",NA,"Diégo-Suarez|Antseranana"
3,134,"MDG","Madagascar",3,"Fianarantsoa","Faritany Mizakatena","Autonomous Province",NA,NA
4,134,"MDG","Madagascar",4,"Mahajanga","Faritany Mizakatena","Autonomous Province",NA,"Majunga"
5,134,"MDG","Madagascar",5,"Toamasina","Faritany Mizakatena","Autonomous Province",NA,"Tamatave"
6,134,"MDG","Madagascar",6,"Toliary","Faritany Mizakatena","Autonomous Province",NA,"Toleary|Toliary|Tuléar"
